strain,virus,region,date,country,division,city,CovBases,QueryCov,DepthCov,pangolin_lineage,organism,setting,location_name,ground_level,latitude,longitude,location_overview,location_type,sampling_type,object,object_specific,surface_material,object_other,surface_material_other,air_temperature_C,relative_humidity_percent,region_exposure,country_exposure
BC-0345797185,ncov,South America,2020-04-20,Chile,Region Metropolitana de Santiago,Santiago,28976,96.9,9.26492,B.1,Environmental,Urban,Jumbo Plaza de Puente Alto (Comuna Puente Alto),Above ground (closed area),-33.611595,-70.576612,Supermarket,Supermarket,Surface,ATM,Keypad/card reader/machine body/screen buttons,Mixed,ATM,Painted metal/rubber/plastic/metal,25.0,32.0,South America,Chile
BC-0345797632,ncov,South America,2020-04-27,Chile,Region Metropolitana de Santiago,Santiago,29697,99.3111,19.7605,B.1,Environmental,Urban,PF176-Parada 3 / (M) Plaza De Puente Alto (Comuna Puente Alto),Above ground (open area),-33.609571,-70.576011,Bus stop,Bus stop,Surface,Horizontal pole,?,Metal,Horizontal pole,?,19.0,44.0,South America,Chile
BC-0345797636,ncov,South America,2020-04-13,Chile,Region Metropolitana de Santiago,Santiago,28716,96.0305,6.86995,B.1,Environmental,Urban,PD335-Parada 1 / (M) Ñuñoa (Comuna Ñuñoa),Above ground (open area),-33.454282,-70.605283,Bus stop,Bus stop,Surface,Horizontal pole,?,Metal,Horizontal pole,?,22.0,37.0,South America,Chile
BC-0345797641,ncov,South America,2020-04-13,Chile,Region Metropolitana de Santiago,Santiago,29784,99.602,22.7057,B.1,Environmental,Urban,Walmart (Comuna Ñuñoa),Above ground (open area),-33.453698,-70.600478,Supermarket,Supermarket Entrance,Surface,Handrail,?,Painted metal,?,?,20.0,41.0,South America,Chile
BC-0345797645,ncov,South America,2020-04-18,Chile,Region Metropolitana de Santiago,Santiago,29853,99.8328,1383.92,B.1,Environmental,Urban,Home,Above ground (closed area),-33.455575,-70.611026,Home,Home,Surface,Control,?,?,?,?,24.0,41.0,South America,Chile
BC-0345797802,ncov,South America,2020-04-20,Chile,Region Metropolitana de Santiago,Santiago,29844,99.8027,354.351,B.1,Environmental,Urban,Santander Bank (Comuna Ñuñoa),Above ground (closed area),-33.453967,-70.605235,Bank,Bank,Surface,ATM,Keypad,Metal,ATM,?,24.0,33.0,South America,Chile
BC-0345797815,ncov,South America,2020-04-27,Chile,Region Metropolitana de Santiago,Santiago,29796,99.6422,25.3028,B.1,Environmental,Urban,Metro Bellavista de la Florida (Comuna La Florida),Underground (or underwater),-33.519687,-70.599384,Station,Subway station,Surface,ATM,Keypad,Metal,ATM,?,14.0,62.0,South America,Chile
BC-0345797817,ncov,South America,2020-04-13,Chile,Region Metropolitana de Santiago,Santiago,29830,99.7559,45.3407,B.1,Environmental,Urban,Metro Bellavista de la Florida (Comuna La Florida),Underground (or underwater),-33.51968,-70.599382,Station,Subway station,Surface,ATM,Keypad,Metal,ATM,?,16.0,46.0,South America,Chile
BC-0345797839,ncov,South America,2020-04-20,Chile,Region Metropolitana de Santiago,Santiago,29741,99.4582,20.6993,B.1,Environmental,Urban,Metro Vicuña Mackenna (Comuna La Florida),Above ground (mixed area),-33.519945,-70.596369,Station,Subway station,Surface,Escalator handrail,?,Rubber,?,?,19.0,43.0,South America,Chile
BC-0345798087,ncov,South America,2020-05-05,Chile,Region Metropolitana de Santiago,Santiago,29498,98.6456,11.1059,B.1,Environmental,Urban,Metro Bellavista de la Florida (Comuna La Florida),Underground (or underwater),-33.519671,-70.599307,Station,Subway station,Surface,ATM,Keypad,Metal,ATM,?,18.0,41.0,South America,Chile
