strain,country,city,today,organism,setting,location_name,ground_level,latitude,longitude,location_overview,location_type,sampling_type,object,object_specific,surface_material,object_other,surface_material_other,air_temperature_C,relative_humidity_percent
BC-0345797185,Chile,Santiago,20-04-2020,Environmental,Urban,Jumbo_Plaza_de_Puente_Alto_(Comuna_Puente_Alto),Above_ground_(closed_area),-33.611595,-70.576612,Supermarket,Supermarket,Surface,ATM,Keypad/card_reader/machine_body/screen_buttons,Mixed,ATM,Painted_metal/rubber/plastic/metal,25.0,32.0
BC-0345797632,Chile,Santiago,27-04-2020,Environmental,Urban,PF176-Parada_3_/_(M)_Plaza_De_Puente_Alto_(Comuna_Puente_Alto),Above_ground_(open_area),-33.609571,-70.576011,Bus_stop,Bus_stop,Surface,Horizontal_pole,?,Metal,Horizontal_pole,?,19.0,44.0
BC-0345797636,Chile,Santiago,13-04-2020,Environmental,Urban,PD335-Parada_1_/_(M)_Ñuñoa_(Comuna_Ñuñoa),Above_ground_(open_area),-33.454282,-70.605283,Bus_stop,Bus_stop,Surface,Horizontal_pole,?,Metal,Horizontal_pole,?,22.0,37.0
BC-0345797641,Chile,Santiago,13-04-2020,Environmental,Urban,Walmart_(Comuna_Ñuñoa),Above_ground_(open_area),-33.453698,-70.600478,Supermarket,Supermarket_Entrance,Surface,Handrail,?,Painted_metal,?,?,20.0,41.0
BC-0345797645,Chile,Santiago,18-04-2020,Environmental,Urban,Home,Above_ground_(closed_area),-33.455575,-70.611026,Home,Home,Surface,Control,?,?,?,?,24.0,41.0
BC-0345797802,Chile,Santiago,20-04-2020,Environmental,Urban,Santander_Bank_(Comuna_Ñuñoa),Above_ground_(closed_area),-33.453967,-70.605235,Bank,Bank,Surface,ATM,Keypad,Metal,ATM,?,24.0,33.0
BC-0345797815,Chile,Santiago,27-04-2020,Environmental,Urban,Metro_Bellavista_de_la_Florida_(Comuna_La_Florida),Underground_(or_underwater),-33.519687,-70.599384,Station,Subway_station,Surface,ATM,Keypad,Metal,ATM,?,14.0,62.0
BC-0345797817,Chile,Santiago,13-04-2020,Environmental,Urban,Metro_Bellavista_de_la_Florida_(Comuna_La_Florida),Underground_(or_underwater),-33.51968,-70.599382,Station,Subway_station,Surface,ATM,Keypad,Metal,ATM,?,16.0,46.0
BC-0345797839,Chile,Santiago,20-04-2020,Environmental,Urban,Metro_Vicuña_Mackenna_(Comuna_La_Florida),Above_ground_(mixed_area),-33.519945,-70.596369,Station,Subway_station,Surface,Escalator_handrail,?,Rubber,?,?,19.0,43.0
BC-0345798087,Chile,Santiago,05-05-2020,Environmental,Urban,Metro_Bellavista_de_la_Florida_(Comuna_La_Florida),Underground_(or_underwater),-33.519671,-70.599307,Station,Subway_station,Surface,ATM,Keypad,Metal,ATM,?,18.0,41.0
BC-0345798943,Chile,Santiago,20-04-2020,Environmental,Urban,PE1262-Parada_5_/_(M)_Bellavista_De_La_Florida_(Comuna_La_Florida),Above_ground_(open_area),-33.522319,-70.597028,Bus_stop,Bus_stop,Surface,Information_board,Metal_edge_of_the_information_board,Metal,?,?,22.0,43.0
BC-0345798991,Chile,Santiago,20-04-2020,Environmental,Urban,Metro_Bellavista_de_la_Florida_(Comuna_La_Florida),Underground_(or_underwater),-33.519671,-70.599375,Station,Subway_station,Surface,ATM,Keypad,Metal,ATM,?,19.0,43.0
BC-0345799013,Chile,Santiago,27-04-2020,Environmental,Urban,PF512-Parada_2_/_(M)_Plaza_De_Puente_Alto_(Comuna_Puente_Alto),Above_ground_(open_area),-33.609106,-70.574456,Bus_stop,Bus_stop,Surface,Horizontal_pole,?,Metal,Horizontal_pole,?,18.0,46.0
BC-0345799029,Chile,Santiago,29-04-2020,Environmental,Urban,Santander_Bank_(Comuna_Ñuñoa),Above_ground_(closed_area),-33.453807,-70.605643,Bank,Bank,Surface,ATM,Keypad,Metal,ATM,?,18.0,?
BC-0345807110,Chile,Santiago,27-04-2020,Environmental,Urban,Metro_Vicuña_Mackenna_(Comuna_La_Florida),Above_ground_(mixed_area),-33.519952,-70.596303,Station,Subway_station,Surface,Escalator_handrail,mechanic_escalator_handrail,Rubber,?,?,14.0,62.0
BC-0361053718,Chile,Santiago,27-04-2020,Environmental,Urban,PD64-Parada_1_/_Colegio_San_Marcos_(Comuna_Macul),Above_ground_(open_area),-33.473652,-70.598901,Bus_stop,Bus_stop,Surface,Pole,?,Metal,?,?,16.0,65.0
BC-0361053744,Chile,Santiago,20-04-2020,Environmental,Urban,Medical_Center_(Comuna_Ñuñoa),Above_ground_(closed_area),-33.454259,-70.607111,Office,Practitioner_office,Surface,Door_handle,From_inside_the_office,Metal,Door_handle,?,28.0,?
BC-0361054258,Chile,Santiago,20-04-2020,Environmental,Urban,Metro_Estación_Central_(Comuna_Estación_Central),Above_ground_(open_area),-33.451535,-70.678957,Station,Subway_station,Surface,Handrail,?,Metal,?,?,18.0,50.0
BC-0361054290,Chile,Santiago,04-05-2020,Environmental,Urban,Metro_Estación_Central_(Comuna_Estación_Central),Above_ground_(open_area),-33.451445,-70.678919,Station,Subway_station,Surface,Handrail,?,Metal,?,?,11.0,67.0
BC-0361056946,Chile,Santiago,29-04-2020,Environmental,Urban,Medical_Center_(Comuna_Ñuñoa),Above_ground_(closed_area),-33.454434,-70.60714,Office,Practitioner_office,Surface,Medical_bed,?,Synthetic_fabric,Medical_bed,?,25.0,?
BC-0361057008,Chile,Santiago,13-04-2020,Environmental,Urban,Jumbo_Plaza_de_Puente_Alto_(Comuna_Puente_Alto),Above_ground_(closed_area),-33.611595,-70.576612,Supermarket,Supermarket,Surface,ATM,Keypad/card_reader/machine_body/screen_buttons,Mixed,ATM,Painted_metal/rubber/plastic/metal,22.0,36.0
BC-0361057023,Chile,Santiago,27-04-2020,Environmental,Urban,Estación_Alameda_(Comuna_Estación_Central),Above_ground_(mixed_area),-33.451675,-70.679205,Train_Station,Train_station,Surface,ATM,Keypad,Metal,ATM,?,10.0,87.0
BC-0361057038,Chile,Santiago,20-04-2020,Environmental,Urban,PF176-Parada_3_/_(M)_Plaza_De_Puente_Alto_(Comuna_Puente_Alto),Above_ground_(open_area),-33.609571,-70.576011,Bus_stop,Bus_stop,Surface,Horizontal_pole,?,Metal,Horizontal_pole,?,25.0,32.0
BC-0361057076,Chile,Santiago,27-04-2020,Environmental,Urban,Metro_Estación_Central_(Comuna_Estación_Central),Above_ground_(closed_area),-33.450789,-70.678759,Station,Subway_station,Surface,Ticket_machine,Keypad,Metal,?,?,12.0,75.0
BC-0361057091,Chile,Santiago,29-04-2020,Environmental,Urban,Medical_Center_(Comuna_Ñuñoa),Above_ground_(closed_area),-33.454425,-70.607105,Office,Practitioner_office,Surface,Door_handle,From_inside_the_office,Metal,Door_handle,?,25.0,?
BC-0361078455,Chile,Santiago,20-04-2020,Environmental,Urban,Walmart_(Comuna_Macul),Above_ground_(open_area),-33.474493,-70.598763,Supermarket,Supermarket_Entrance,Surface,Fence,?,Metal,Perimeter_fence,?,20.0,45.0
BC-0361078892,Chile,Santiago,13-04-2020,Environmental,Urban,Medical_Center_(Comuna_Ñuñoa),Above_ground_(closed_area),-33.454255,-70.607077,Office,Practitioner_office,Surface,Medical_bed,?,Synthetic_fabric,Medical_bed,?,26.0,?
BC-0361082863,Chile,Santiago,13-04-2020,Environmental,Urban,Walmart_(Comuna_Macul),Above_ground_(open_area),-33.474755,-70.598748,Supermarket,Supermarket_Entrance,Surface,Fence,?,Metal,Perimeter_fence,?,15.0,52.0
