Name	Cov_Bases	Mean_Cov	Mean_Depth
0263-04796406D1_S4_L001_R2_001	21211	70.9327	1193.8
0263-04796406D2_S12_L001_R2_001	24565	82.1489	1325.85
0263-04826696C1_S7_L001_R2_001	29753	99.4984	4136.47
0263-04826696C2_S15_L001_R2_001	29860	99.8562	4708.02
0263-04826696D1_S5_L001_R2_001	29006	97.0003	3822.37
0263-04826696D2_S13_L001_R2_001	28888	96.6057	3533.49
0263-04907181_S18_L001_R2_001	29232	97.7561	3671.47
0263-04907236_S17_L001_R2_001	29387	98.2744	3923.73
0263-04907430_S19_L001_R2_001	29295	97.9668	4111.03
0263-04907959_S20_L001_R2_001	29076	97.2344	3931.21
0263-04908537_S25_L001_R2_001	28402	94.9804	3611.1
0263-04908627_S27_L001_R2_001	28498	95.3015	3698.73
0263-04908735_S28_L001_R2_001	28887	96.6023	3245.62
0263-04908800_S39_L001_R2_001	28817	96.3683	2994.78
0263-04908838_S48_L001_R2_001	26899	89.9542	2903.42
0263-04909004_S40_L001_R2_001	28847	96.4686	2799.26
0263-04909216_S32_L001_R2_001	29016	97.0337	3414.95
0263-04909560_S33_L001_R2_001	29203	97.6591	3343.4
0263-04910125_S30_L001_R2_001	29626	99.0737	3479.86
0263-04911541_S42_L001_R2_001	29620	99.0536	2922.91
0263-04913018_S47_L001_R2_001	28813	96.3549	2834.84
0263-04914564_S31_L001_R2_001	29271	97.8865	2921.82
0263-04914690_S34_L001_R2_001	29210	97.6825	3426.98
0263-04914761_S29_L001_R2_001	29269	97.8798	4029.57
0263-04915695_S36_L001_R2_001	26822	89.6967	2845.03
0263-04916011_S41_L001_R2_001	29521	98.7225	4194.78
0263-04916318_S43_L001_R2_001	29691	99.291	4939.48
0263-04916370_S45_L001_R2_001	29409	98.348	4472.26
0263-04918815_S24_L001_R2_001	29032	97.0872	3387.51
0263-04919600_S37_L001_R2_001	29277	97.9066	3738.94
0263-04919603_S38_L001_R2_001	29077	97.2377	3694.79
0263-04922003_S44_L001_R2_001	29629	99.0837	4117.64
0705-04908047_S46_L001_R2_001	22585	75.5275	1835.91
0705-04908615_S26_L001_R2_001	28957	96.8364	3682.86
0705-04910167_S35_L001_R2_001	21350	71.3975	3259.5
0705-04912465_S21_L001_R2_001	29432	98.4249	3450.19
0705-04918713_S22_L001_R2_001	28908	96.6726	4130.73
0705-04918718_S23_L001_R2_001	29560	98.853	3570.71
0718-04827640D1_S2_L001_R2_001	1404	4.69518	217.74
0718-04827640D2_S10_L001_R2_001	885	2.95957	103.266
3395565C1_S6_L001_R2_001	28766	96.1977	4613
3395565C2_S14_L001_R2_001	28611	95.6794	3231.97
3395565D1_S3_L001_R2_001	28505	95.3249	3994.45
3395565D2_S11_L001_R2_001	28539	95.4386	3235.91
ControlPos1_S1_L001_R2_001	24559	82.1289	2987.9
ControlPos2_S9_L001_R2_001	23600	78.9218	3019.66
Mag11-1_S8_L001_R2_001	29862	99.8629	4322.49
Mag11-2_S16_L001_R2_001	29888	99.9498	4482.62
