Name Cov_Bases Mean_Cov Mean_Depth
0263-04907181 29232 97.7561 3671.47
0263-04907236 29387 98.2744 3923.73
0263-04907430 29295 97.9668 4111.03
0263-04907959 29076 97.2344 3931.21
0263-04908537 28402 94.9804 3611.1
0263-04908627 28498 95.3015 3698.73
0263-04908735 28887 96.6023 3245.62
0263-04908800 28817 96.3683 2994.78
0263-04909004 28847 96.4686 2799.26
0263-04909216 29016 97.0337 3414.95
0263-04909560 29203 97.6591 3343.4
0263-04910125 29626 99.0737 3479.86
0263-04911541 29620 99.0536 2922.91
0263-04913018 28813 96.3549 2834.84
0263-04914564 29271 97.8865 2921.82
0263-04914690 29210 97.6825 3426.98
0263-04914761 29269 97.8798 4029.57
0263-04916011 29521 98.7225 4194.78
0263-04916318 29691 99.291 4939.48
0263-04916370 29409 98.348 4472.26
0263-04918815 29032 97.0872 3387.51
0263-04919600 29277 97.9066 3738.94
0263-04919603 29077 97.2377 3694.79
0263-04922003 29629 99.0837 4117.64
0705-04908615 28957 96.8364 3682.86
0705-04912465 29432 98.4249 3450.19
0705-04918713 28908 96.6726 4130.73
0705-04918718 29560 98.853 3570.71
