taxon,lineage,probability,pangoLEARN_version,status,note
0263-04907181,B.1.1.25,1.0,2020-08-29_3,passed_qc,
0263-04907236,B.1.1.25,1.0,2020-08-29_3,passed_qc,
0263-04907430,B.1.1,1.0,2020-08-29_3,passed_qc,
0263-04907959,B.1.1.35,1.0,2020-08-29_3,passed_qc,
0263-04908537,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04908627,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04908735,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04908800,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04909004,B.1.1.7,1.0,2020-08-29_3,passed_qc,
0263-04909216,B.1.1.1,1.0,2020-08-29_3,passed_qc,
0263-04909560,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04910125,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04911541,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04913018,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04914564,B.1.1.35,1.0,2020-08-29_3,passed_qc,
0263-04914690,B.1.1.35,1.0,2020-08-29_3,passed_qc,
0263-04914761,B.1.1.35,1.0,2020-08-29_3,passed_qc,
0263-04916011,B.1.1.35,1.0,2020-08-29_3,passed_qc,
0263-04916318,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04916370,B.1.1.1,1.0,2020-08-29_3,passed_qc,
0263-04918815,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0263-04919600,B.1.1.1,1.0,2020-08-29_3,passed_qc,
0263-04919603,B.1.1.1,1.0,2020-08-29_3,passed_qc,
0263-04922003,B.1,1.0,2020-08-29_3,passed_qc,
0705-04908615,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0705-04912465,B.1.1.35,1.0,2020-08-29_3,passed_qc,
0705-04918713,B.1.1.28,1.0,2020-08-29_3,passed_qc,
0705-04918718,B.1.1.28,1.0,2020-08-29_3,passed_qc,
